config_id,system_config_id,validator_count,node_degree,propagation_delay,block_creation_interval,max_block_size,attacker_config_id,attack_strategy,attacker_hash_power,tie_breaking_parameter
1,2111,686,8,31968,61050,4436583,48,selfish,0.2114807290736435,0.0244607249130057
2,2111,686,8,31968,61050,4436583,48,lead_stubborn,0.2114807290736435,0.0244607249130057
3,2111,686,8,31968,61050,4436583,48,trail_stubborn,0.2114807290736435,0.0244607249130057
4,2111,686,8,31968,61050,4436583,9,selfish,0.2331676534838964,0.9471927912224244
5,2111,686,8,31968,61050,4436583,9,lead_stubborn,0.2331676534838964,0.9471927912224244
6,2111,686,8,31968,61050,4436583,9,trail_stubborn,0.2331676534838964,0.9471927912224244
7,2111,686,8,31968,61050,4436583,7,selfish,0.4657787213448116,0.0151426399118454
8,2111,686,8,31968,61050,4436583,7,lead_stubborn,0.4657787213448116,0.0151426399118454
9,2111,686,8,31968,61050,4436583,7,trail_stubborn,0.4657787213448116,0.0151426399118454
10,2111,686,8,31968,61050,4436583,74,selfish,0.4831039344913304,0.9827660363748432
11,2111,686,8,31968,61050,4436583,74,lead_stubborn,0.4831039344913304,0.9827660363748432
12,2111,686,8,31968,61050,4436583,74,trail_stubborn,0.4831039344913304,0.9827660363748432
13,2111,686,8,31968,61050,4436583,50,selfish,0.3349244931377773,0.5073741801149648
14,2111,686,8,31968,61050,4436583,50,lead_stubborn,0.3349244931377773,0.5073741801149648
15,2111,686,8,31968,61050,4436583,50,trail_stubborn,0.3349244931377773,0.5073741801149648
16,2061,215,3,31968,631179,3731952,48,selfish,0.2114807290736435,0.0244607249130057
17,2061,215,3,31968,631179,3731952,48,lead_stubborn,0.2114807290736435,0.0244607249130057
18,2061,215,3,31968,631179,3731952,48,trail_stubborn,0.2114807290736435,0.0244607249130057
19,2061,215,3,31968,631179,3731952,9,selfish,0.2331676534838964,0.9471927912224244
20,2061,215,3,31968,631179,3731952,9,lead_stubborn,0.2331676534838964,0.9471927912224244
21,2061,215,3,31968,631179,3731952,9,trail_stubborn,0.2331676534838964,0.9471927912224244
22,2061,215,3,31968,631179,3731952,7,selfish,0.4657787213448116,0.0151426399118454
23,2061,215,3,31968,631179,3731952,7,lead_stubborn,0.4657787213448116,0.0151426399118454
24,2061,215,3,31968,631179,3731952,7,trail_stubborn,0.4657787213448116,0.0151426399118454
25,2061,215,3,31968,631179,3731952,74,selfish,0.4831039344913304,0.9827660363748432
26,2061,215,3,31968,631179,3731952,74,lead_stubborn,0.4831039344913304,0.9827660363748432
27,2061,215,3,31968,631179,3731952,74,trail_stubborn,0.4831039344913304,0.9827660363748432
28,2061,215,3,31968,631179,3731952,50,selfish,0.3349244931377773,0.5073741801149648
29,2061,215,3,31968,631179,3731952,50,lead_stubborn,0.3349244931377773,0.5073741801149648
30,2061,215,3,31968,631179,3731952,50,trail_stubborn,0.3349244931377773,0.5073741801149648
31,471,509,7,31968,1197602,7258928,48,selfish,0.2114807290736435,0.0244607249130057
32,471,509,7,31968,1197602,7258928,48,lead_stubborn,0.2114807290736435,0.0244607249130057
33,471,509,7,31968,1197602,7258928,48,trail_stubborn,0.2114807290736435,0.0244607249130057
34,471,509,7,31968,1197602,7258928,9,selfish,0.2331676534838964,0.9471927912224244
35,471,509,7,31968,1197602,7258928,9,lead_stubborn,0.2331676534838964,0.9471927912224244
36,471,509,7,31968,1197602,7258928,9,trail_stubborn,0.2331676534838964,0.9471927912224244
37,471,509,7,31968,1197602,7258928,7,selfish,0.4657787213448116,0.0151426399118454
38,471,509,7,31968,1197602,7258928,7,lead_stubborn,0.4657787213448116,0.0151426399118454
39,471,509,7,31968,1197602,7258928,7,trail_stubborn,0.4657787213448116,0.0151426399118454
40,471,509,7,31968,1197602,7258928,74,selfish,0.4831039344913304,0.9827660363748432
41,471,509,7,31968,1197602,7258928,74,lead_stubborn,0.4831039344913304,0.9827660363748432
42,471,509,7,31968,1197602,7258928,74,trail_stubborn,0.4831039344913304,0.9827660363748432
43,471,509,7,31968,1197602,7258928,50,selfish,0.3349244931377773,0.5073741801149648
44,471,509,7,31968,1197602,7258928,50,lead_stubborn,0.3349244931377773,0.5073741801149648
45,471,509,7,31968,1197602,7258928,50,trail_stubborn,0.3349244931377773,0.5073741801149648
46,2211,905,2,31968,531664,270175,48,selfish,0.2114807290736435,0.0244607249130057
47,2211,905,2,31968,531664,270175,48,lead_stubborn,0.2114807290736435,0.0244607249130057
48,2211,905,2,31968,531664,270175,48,trail_stubborn,0.2114807290736435,0.0244607249130057
49,2211,905,2,31968,531664,270175,9,selfish,0.2331676534838964,0.9471927912224244
50,2211,905,2,31968,531664,270175,9,lead_stubborn,0.2331676534838964,0.9471927912224244
51,2211,905,2,31968,531664,270175,9,trail_stubborn,0.2331676534838964,0.9471927912224244
