attacker_config_id,attacker_hash_power,tie_breaking_parameter
1,0.3857676334163057,0.20470825083617128
2,0.29591149459145444,0.9228509849216918
3,0.40534219622537704,0.12093546818903045
4,0.26276483434437586,0.7190241322679278
5,0.49957625570708486,0.3625281920046287
6,0.4911132375299709,0.252577974178488
7,0.46577872134481163,0.015142639911845425
8,0.3927810904963459,0.8167673407001561
9,0.2331676534838964,0.9471927912224244
10,0.4737946714611262,0.5224738795684104
11,0.3777435584279705,0.3053722478730439
12,0.3985108847427614,0.9637929216712549
13,0.22382566306296195,0.7912632295125752
14,0.43124595124846865,0.5424263205795637
15,0.28091147618982004,0.9551352008768642
16,0.4208942434349683,0.09485255229245317
17,0.43725564380301285,0.9067257327686691
18,0.23123459415852662,0.38477461103315813
19,0.49547336512809487,0.041935593946833244
20,0.24611404062622555,0.1374999707243197
21,0.2397567210258474,0.5887702959721403
22,0.24260325729568,0.22203573751577416
23,0.3494898166749496,0.4302371480503864
24,0.4574864654719545,0.463400582232104
25,0.454095890072901,0.6742162468199493
26,0.2702561230694959,0.837478784452857
27,0.45900527356269494,0.5951250624738255
28,0.43045386275658026,0.2618674911675315
29,0.2901917465581629,0.3137113417077046
30,0.20398127831004126,0.857228363045134
31,0.2689147210983604,0.7842712343444325
32,0.44958565935337236,0.6338235473212548
33,0.2594311744995365,0.5379384620687854
34,0.4113840234518945,0.15286349729656507
35,0.444752781116749,0.3583252290098091
36,0.34610778701644973,0.600169191961039
37,0.469568977189866,0.9743873423433428
38,0.3509947337216052,0.8424701912520188
39,0.47902417552157134,0.6177321915239017
40,0.25011269525061214,0.6454895199876196
41,0.38831508205719056,0.5577479977483336
42,0.2544637386172081,0.3417299389831262
43,0.3733963553970497,0.8234180661786772
44,0.3297294244236074,0.1851245903607699
45,0.2747520561924723,0.7307587255425585
46,0.4184444837622084,0.6687474950133617
47,0.40711293091197365,0.10319865275604906
48,0.21148072907364357,0.02446072491300577
49,0.3008118292997498,0.7565167136190543
50,0.3349244931377773,0.5073741801149648
51,0.2182850515748211,0.17308152794924114
52,0.3898718220747056,0.42954346014535355
53,0.366882515038515,0.23620613154557377
54,0.3585232711576509,0.4092237628104323
55,0.3277016708096898,0.5663965080474668
56,0.4768512858671266,0.14473024368564524
57,0.2281547978409189,0.24649783859020644
58,0.3409275648695138,0.932574439505853
59,0.2977847312437251,0.2895622807306851
60,0.28920636610053896,0.21238893474710685
61,0.3070497535774244,0.9179940122389904
62,0.3350709844137344,0.6247506884808997
63,0.47140457217882553,0.7667985672256883
64,0.4895135847322587,0.8096004723526141
65,0.34396780885000455,0.06752293387560226
66,0.4409284566649496,0.3941260031346912
67,0.36045252008619993,0.8954386061007626
68,0.37060463058572657,0.4761663270697934
69,0.2070972729458678,0.29791987001992143
70,0.4344347691369841,0.004896206884822415
71,0.3239323376009491,0.868936778850477
72,0.3156406422303758,0.37745539006053525
73,0.26313990472027754,0.494072025933513
74,0.48310393449133043,0.9827660363748433
75,0.25255453171388126,0.44018112701741624
76,0.3027820674966874,0.514144872517883
77,0.2375482709814891,0.08921832802338273
78,0.38156183013962597,0.7050527606912402
79,0.3642632456563252,0.6890479996878222
80,0.2816906079992455,0.41116803309998035
81,0.22694169963747812,0.48042425855720294
82,0.3128186843462212,0.05985939526294249
83,0.20286011936754084,0.7764128459904844
84,0.42770869896427055,0.7484720574557526
85,0.40245827436280923,0.7244830604083918
86,0.44610237327994784,0.2773058726188811
87,0.3108669576156866,0.5798034448113424
88,0.4229568538429628,0.8766829270547112
89,0.21293792497013628,0.6944582199785999
90,0.3196298037016608,0.990883980492858
91,0.39696147539917115,0.3291381696463736
92,0.35449023431398086,0.031254199492666654
93,0.2779592827386458,0.33458257289044985
94,0.2857700497959219,0.11637141640833266
95,0.37512293374196576,0.19745101880671698
96,0.46269228010138364,0.45288967188553264
97,0.4855618445578609,0.16899827160588665
98,0.21729239263723,0.8840829656528192
99,0.32273659058459936,0.0746241892293311
100,0.41587279147316836,0.6511808318464773
