strategy,row_index,config_id,validator_count,node_degree,bandwidth,attacker_hash_power,note
selfish,109711,109712,170,3,61.0,0.3985108847427614,vcD2/deg3/bw61.0/hpQ4
selfish,13575,13576,582,3,29.9,0.3027820674966874,vcD6/deg3/bw29.9/hpQ2
selfish,108199,108200,776,4,7.1,0.4158727914731683,vcD8/deg4/bw7.1/hpQ4
selfish,115316,115317,669,2,14.6,0.4372556438030128,vcD7/deg2/bw14.6/hpQ4
selfish,105009,105010,423,3,5.0,0.4737946714611262,vcD5/deg3/bw5.0/hpQ5
selfish,55997,55998,475,7,125.0,0.21729239263723,vcD5/deg7/bw125.0/hpQ1
selfish,211451,211452,664,5,20.9,0.3898718220747056,vcD7/deg5/bw20.9/hpQ4
selfish,8513,8514,365,3,29.9,0.4312459512484686,vcD4/deg3/bw29.9/hpQ4
selfish,219435,219436,496,3,20.9,0.3461077870164497,vcD5/deg3/bw20.9/hpQ3
selfish,172764,172765,54,7,61.0,0.3439678088500045,vcD1/deg7/bw61.0/hpQ3
selfish,617,618,195,2,42.7,0.2312345941585266,vcD2/deg2/bw42.7/hpQ1
selfish,102821,102822,741,5,87.4,0.24260325729568,vcD8/deg5/bw87.4/hpQ1
selfish,110260,110261,199,6,10.2,0.3070497535774244,vcD2/deg6/bw10.2/hpQ2
selfish,59228,59229,203,3,10.2,0.2901917465581629,vcD2/deg3/bw10.2/hpQ2
selfish,127439,127440,434,6,20.9,0.2501126952506121,vcD5/deg6/bw20.9/hpQ1
selfish,22422,22423,808,7,20.9,0.3494898166749496,vcD9/deg7/bw20.9/hpQ3
selfish,216424,216425,825,5,20.9,0.454095890072901,vcD9/deg5/bw20.9/hpQ5
selfish,120935,120936,86,2,125.0,0.3461077870164497,vcD1/deg2/bw125.0/hpQ3
selfish,71510,71511,353,7,29.9,0.3777435584279705,vcD4/deg7/bw29.9/hpQ3
selfish,132134,132135,206,4,7.1,0.444752781116749,vcD2/deg4/bw7.1/hpQ5
selfish,124867,124868,544,6,87.4,0.3706046305857265,vcD6/deg6/bw87.4/hpQ3
selfish,229465,229466,24,3,20.9,0.4409284566649496,vcD1/deg3/bw20.9/hpQ5
selfish,197235,197236,482,5,10.2,0.3461077870164497,vcD5/deg5/bw10.2/hpQ3
selfish,53037,53038,245,5,5.0,0.3509947337216052,vcD3/deg5/bw5.0/hpQ3
selfish,188990,188991,517,2,125.0,0.3969614753991711,vcD6/deg2/bw125.0/hpQ4
selfish,58221,58222,555,2,10.2,0.24260325729568,vcD6/deg2/bw10.2/hpQ1
selfish,16165,16166,208,7,7.1,0.4409284566649496,vcD2/deg7/bw7.1/hpQ5
selfish,243528,243529,485,6,29.9,0.2901917465581629,vcD5/deg6/bw29.9/hpQ2
selfish,133217,133218,851,6,10.2,0.2312345941585266,vcD9/deg6/bw10.2/hpQ1
selfish,19946,19947,136,4,125.0,0.4071129309119736,vcD2/deg4/bw125.0/hpQ4
selfish,2434,2435,953,6,20.9,0.444752781116749,vcD10/deg6/bw20.9/hpQ5
selfish,64160,64161,587,3,7.1,0.3070497535774244,vcD6/deg3/bw7.1/hpQ2
selfish,247578,247579,445,4,29.9,0.3642632456563252,vcD5/deg4/bw29.9/hpQ3
selfish,92350,92351,162,6,14.6,0.2182850515748211,vcD2/deg6/bw14.6/hpQ1
selfish,203153,203154,601,6,7.1,0.3585232711576509,vcD6/deg6/bw7.1/hpQ3
selfish,61302,61303,539,4,14.6,0.405342196225377,vcD6/deg4/bw14.6/hpQ4
selfish,132680,132681,206,4,42.7,0.2269416996374781,vcD2/deg4/bw42.7/hpQ1
selfish,246599,246600,281,4,29.9,0.4158727914731683,vcD3/deg4/bw29.9/hpQ4
selfish,104319,104320,900,6,14.6,0.2461140406262255,vcD9/deg6/bw14.6/hpQ1
selfish,45546,45547,892,5,29.9,0.4071129309119736,vcD9/deg5/bw29.9/hpQ4
selfish,240632,240633,771,5,42.7,0.2594311744995365,vcD8/deg5/bw42.7/hpQ1
selfish,119512,119513,766,7,29.9,0.2238256630629619,vcD8/deg7/bw29.9/hpQ1
selfish,140340,140341,821,5,14.6,0.3883150820571905,vcD9/deg5/bw14.6/hpQ4
selfish,69273,69274,463,4,10.2,0.4831039344913304,vcD5/deg4/bw10.2/hpQ5
selfish,65509,65510,488,5,29.9,0.4737946714611262,vcD5/deg5/bw29.9/hpQ5
selfish,225620,225621,965,5,42.7,0.2397567210258474,vcD10/deg5/bw42.7/hpQ1
selfish,222145,222146,558,7,7.1,0.4184444837622084,vcD6/deg7/bw7.1/hpQ4
selfish,170465,170466,780,3,20.9,0.4409284566649496,vcD8/deg3/bw20.9/hpQ5
selfish,66240,66241,424,7,10.2,0.3883150820571905,vcD5/deg7/bw10.2/hpQ4
selfish,5091,5092,29,8,5.0,0.3544902343139808,vcD1/deg8/bw5.0/hpQ3
selfish,71696,71697,353,7,42.7,0.4855618445578609,vcD4/deg7/bw42.7/hpQ5
selfish,56300,56301,323,8,14.6,0.3857676334163057,vcD4/deg8/bw14.6/hpQ4
selfish,138653,138654,472,7,42.7,0.3585232711576509,vcD5/deg7/bw42.7/hpQ3
selfish,119379,119380,766,7,14.6,0.2816906079992455,vcD8/deg7/bw14.6/hpQ2
selfish,117359,117360,267,3,14.6,0.2892063661005389,vcD3/deg3/bw14.6/hpQ2
selfish,35612,35613,455,7,42.7,0.2238256630629619,vcD5/deg7/bw42.7/hpQ1
selfish,236629,236630,861,5,42.7,0.2039812783100412,vcD9/deg5/bw42.7/hpQ1
selfish,208909,208910,512,4,125.0,0.4737946714611262,vcD6/deg4/bw125.0/hpQ5
selfish,10110,10111,104,4,7.1,0.3777435584279705,vcD1/deg4/bw7.1/hpQ3
selfish,75489,75490,755,6,20.9,0.3196298037016608,vcD8/deg6/bw20.9/hpQ2
selfish,243158,243159,485,6,7.1,0.2977847312437251,vcD5/deg6/bw7.1/hpQ2
selfish,103702,103703,429,4,61.0,0.405342196225377,vcD5/deg4/bw61.0/hpQ4
selfish,52477,52478,404,8,20.9,0.3815618301396259,vcD4/deg8/bw20.9/hpQ4
selfish,103092,103093,429,4,5.0,0.2779592827386458,vcD5/deg4/bw5.0/hpQ2
selfish,55402,55403,475,7,20.9,0.405342196225377,vcD5/deg7/bw20.9/hpQ4
selfish,40217,40218,50,3,10.2,0.2312345941585266,vcD1/deg3/bw10.2/hpQ1
selfish,134328,134329,923,7,14.6,0.2901917465581629,vcD10/deg7/bw14.6/hpQ2
selfish,79051,79052,528,8,5.0,0.3898718220747056,vcD6/deg8/bw5.0/hpQ4
selfish,234976,234977,138,8,125.0,0.2375482709814891,vcD2/deg8/bw125.0/hpQ1
selfish,248667,248668,306,6,42.7,0.3706046305857265,vcD3/deg6/bw42.7/hpQ3
selfish,216614,216615,825,5,42.7,0.28091147618982,vcD9/deg5/bw42.7/hpQ2
selfish,65907,65908,488,5,125.0,0.3927810904963459,vcD5/deg5/bw125.0/hpQ4
selfish,135759,135760,242,7,61.0,0.2892063661005389,vcD3/deg7/bw61.0/hpQ2
selfish,160773,160774,685,4,61.0,0.4831039344913304,vcD7/deg4/bw61.0/hpQ5
